Default Dataset,
X,Y
0.9993989040092331,381230.4939490414
1.1812690227464342,304229.5800673219
1.3962526820197145,247560.6205543663
1.65037163459594,203342.1490949835
1.950681990135198,159159.46157983295
2.3056020605837153,121454.86002030739
2.6817268380271604,99773.5689240572
3.119052569519614,75534.79273189923
3.6864083035213246,54092.89043394513
4.232843195687682,42600.9578724058
4.860021615424229,30839.842093654603
5.743744663049183,20219.032284841116
6.594989968662454,15359.358304625246
7.547567814900926,10493.423471021379
8.55492181665686,7403.56789770344
9.728146800687751,5371.492094723356
11.496462598969735,3236.088288484838
13.031349749057183,2424.065788306302
14.769978131042574,1596.5075420755977
16.741190767365243,1115.8984115662824
18.975460962305764,778.5165614373876
22.427593972457032,577.7390889140838
25.91828957958955,454.7918990313758
29.95081543757637,330.7781514114624
35.39900648003548,238.36175278136886
41.842373250770706,201.31061372627
49.46030948709075,179.93032194662348
58.46558720531073,162.59883791565608
69.10332155168227,124.41553942196386
81.68083326112514,103.5298628324999
96.54750447270334,86.04066373065838
114.11348467525512,65.1818413014008
134.86488607617068,43.53328899306242
153.36638573474545,33.666925847418156
165.10923094226268,23.09349032989293
183.56865117566505,16.490008781639396
206.7248160282989,10.807307700345087
230.29966511259772,7.961135755533437
251.44475178885776,5.177917569949912
277.73601030568994,3.1581939751290022
289.569194937215,2.6479288199433655
319.8580704552271,1.709553857380486
335.45668749619443,1.0624292644837503
