Default Dataset,
X,Y
10.877805228066599,0.07713221692816674
11.652113699204158,0.5635351238476751
12.42985210819836,1.0106254667338774
13.245491330508486,1.4582497867102333
14.049250495333329,1.8582069939521002
14.683866951945717,2.1298537290952373
15.352491091529707,2.3681985193600275
16.025284466426246,2.5615254876443485
16.810168579288458,2.7299780772997098
17.473575726394504,2.8843214857508173
18.196720957837112,3.0060121261356443
18.853982799616663,3.1572625566250947
19.51124464139622,3.30308863955913
20.019094018650904,3.376290663104248
20.63131585844711,3.497356453423289
21.32909384115828,3.7950535074267835
21.973877885911797,4.039448885368926
22.25344819909986,4.262029328591236
22.829423689545322,4.377590434316707
23.494831633734407,4.713731251495691
24.127483671392536,5.036200046414196
24.73861284900022,5.41692932865306
25.451611180950252,5.848495999266575
26.211186509930858,6.338994659864191
26.96748780732103,6.789787234862581
27.71531300070486,7.257230181857455
28.208709561383213,7.575711736509141
28.88170494386124,7.976099173170598
29.62927549034359,8.443267775806477
30.151483529017757,8.924070615281918
