Default Dataset,
X,Y
0.10642122206465705,6117467.9304475095
0.12083906045135201,3317950.0513265934
0.17575557226484698,1852969.0439066514
0.2574962184942898,920319.8782471931
0.3772648026927159,479517.8833425981
0.5527685282341768,269451.92034760205
0.8099764701432111,169399.19459739805
1.1869265454047488,115161.46100326796
1.7391479118896032,68356.96673651793
2.474172573651079,34634.41072336587
3.343125321264639,16572.818746723653
4.418733251333681,8012.306704384395
5.840432287709995,3901.9402864564768
7.776602323984123,1928.3244488234623
10.507962641630224,942.1694397571489
14.730279517013606,454.5226075182054
21.08158700350316,268.67969149420753
29.598651137254812,147.77077904676005
44.72085332972675,136.1886959035546
65.03129079374186,107.84375102512466
95.9588079463647,88.594879646386
140.59993850245456,50.35596398262626
184.46304016498556,22.11874552580475
218.37598027897758,12.863717488077606
262.3430012788822,7.027427955210708
339.12995770592505,2.6781827488515724
458.3415445441983,1.8211102291847667
