Default Dataset,
X,Y
11.202483156433743,3926.4084148056186
13.847299791375526,2572.1184522423428
16.38060220429572,1777.299327229913
19.933639012112483,1198.9046866678348
25.68473130058661,793.0559505915089
33.470715599021524,529.7005248317212
43.61691736619403,365.2335233844765
56.838805101167715,254.22650376869387
74.0687320519468,173.80181226112467
95.77294081855436,112.56186167225677
119.63809024285625,67.03933411635143
139.22669845110528,42.02157476249821
155.54702472101326,29.109981468741243
194.54053152468651,14.916495436150397
245.73772715039055,7.534414793565834
311.0748264198021,3.7333851175669075
392.99532622997236,1.9382269173787874
495.1919163691449,1.1687396660642622
559.9941066138688,0.8412578607733553
727.2860327292565,0.6367358299462226
928.2744495582966,0.4844411820817892
