Default Dataset,
X,Y
0.10649521877893263,130181.80985185284
0.1003626168270099,247590.92752672776
0.1459054345459253,121722.46621266911
0.1986810962835984,93973.03475926371
0.27054664876669493,72597.74753645445
0.36841097178964155,56419.53523347261
0.5016909263522119,44577.99020604239
0.6832051069868521,35714.66224225151
0.930430720885384,29264.67438708555
1.2670696674191064,23492.644878022187
1.7121961147603886,15339.561283355646
2.245873748944628,8505.398813181766
2.8394480478405284,4739.667458537245
3.563573379305913,2643.3134804614733
4.53866862799388,1467.0139115860147
5.82335227862032,818.6138663929394
7.63873411070121,463.31608614671063
10.320672959402895,278.5341185159444
14.048754481624032,177.25337903000835
19.130646041269678,137.9960185954729
26.0551251598635,117.46158673921731
36.253631884166005,107.43190037135844
48.34759590389937,103.16738532021832
65.85423726163715,92.90968054569566
89.70156309288281,84.45082197258938
121.26541023047575,69.32367599113186
155.88557564655085,37.87231540132922
194.3607031256108,16.86806829505596
244.35836864964196,8.105289540403222
287.6309621669288,4.482685884995655
323.2905285438151,2.718563008701623
443.40520876835313,1.9124437208698548
533.0199679637585,1.9276903899580007
