Comets,,Asteroid,
X,Y,X,Y
4.573294587278276,1585.4401031727846,4.5715002373032885,198.3175931173659
4.573188769523794,1348.4471865035207,4.561947071644548,161.4982292934352
4.572444004835168,1172.9331181941302,4.5522422811249745,139.45583945412875
4.562250963325173,1009.4081008660787,4.53881849641718,118.68079625213076
4.557057683949421,683.5624697123534,4.519908802496774,99.61180546091012
4.556703642915266,572.0817639377922,4.506025328191838,85.75737524114473
4.556844053809029,492.9705574595253,4.4902557165928325,75.58144758654674
4.5619947445159355,437.291879277971,4.469906293875603,66.1641205325166
4.554071566338424,387.11930540362414,4.325084084404713,37.531615816527136
4.559878747437062,344.90356437122114,4.299458428912212,33.009723346272544
4.554429676250095,288.43815146804883,4.264090082892198,29.243890952292936
4.5580820073139865,863.6288901023732,4.2218306117203745,25.92569969516176
4.558710415093013,777.3435365419767,4.175159371339902,23.119710550086324
4.543981074655297,233.77015015074,4.126870378718179,20.90502026650267
4.523981652033601,191.8537056602658,4.0658060459125736,19.097482781498467
4.522140956468594,165.2174204381784,4.0082287640356515,17.473958794482954
4.511603200271034,146.24597846770573,3.9506613762745326,16.232339871329593
4.502102038683354,127.64165812379436,3.893095959897389,15.124496720342117
4.4900211335898845,109.24840933049678,3.8355394333460975,14.285255950132166
4.468673045130482,93.332069370421,3.7779885977711882,13.610584428627229
4.458342216434786,80.55111673697313,3.720438766486229,12.987718660380276
4.444563957590807,69.3030392538728,3.6628932871243856,12.476156784384223
4.425608803098129,59.562314863682595,3.6053484772891755,11.99702808736202
4.410005523594724,51.85852811576553,3.5478070150871317,11.595541370422014
4.38751359317423,44.89110232314097,3.48921927405069,11.199349738107324
4.364842182749168,38.55304411928188,3.4327307859493756,10.943966181677784
4.34855052423039,34.02284110618254,3.375190755790408,10.600923220725024
4.322321826743125,29.937726612765683,3.3176532177583535,10.307863387202568
4.296614004238338,26.261536425926266,3.260121081105843,10.106082421150747
4.275085118695309,22.886438733187855,3.2025846881768794,9.843934649155935
4.256708610034575,20.407068351803026,3.145049586477851,9.607549489319966
4.230197523881482,18.181075344652736,3.0875198277076294,9.453810980297293
4.202124681305779,16.108565665602978,3.029984069766227,9.217534038424967
4.172805328922721,14.157514958061498,2.972446959487298,8.968585588574632
4.14135060503384,12.514810296288783,2.9149145358948028,8.78916195529497
4.109291543229894,11.045973379610889,2.8573811080123575,8.600102484595773
4.071287549728954,9.67076276280842,2.7998463410766457,8.397886199529236
4.033208329588893,8.534656276943355,2.7423129131942,8.217243274987556
3.9919963167784993,7.585439306883282,2.684779150548438,8.036368706854162
3.9460318971732167,6.864737107021599,2.6272450531393594,7.855450799496821
3.892503763590307,6.111762733370287,2.569709951440331,7.666815659280605
3.83490338304454,5.3979965256672,2.5121741802146693,7.4750487459276345
3.777311706345004,4.8315048651509525,2.4546407523322236,7.314256537689367
3.7197283987283836,4.3801955263772125,2.397105985396512,7.14227465866821
3.6621521211414123,4.013987614410848,2.339569544644217,6.956497839178427
3.604581534530823,3.710566443326171,2.282034442945189,6.789449508178625
3.54701529984335,3.4529973910414586,2.2244973326662603,6.606079105275602
3.4894564299488424,3.2497218664013894,2.166961226677282,6.437545736396196
3.4318995686342344,3.0678267956981724,2.1094234468717206,6.257266239593626
3.374343510751586,2.8996752438514304,2.051886001829476,6.085151439649603
3.316792541271351,2.762161887113217,1.9943478872605978,5.91171171087149
3.2592447185662907,2.643868973524828,1.936812116034937,5.763844492223283
3.2016982349144976,2.535832298259473,1.879271323359526,5.576664398731011
3.1441527555526543,2.435950620681541,1.8217312002107482,5.401093115081006
3.08661028906066,2.3508151659975822,1.76419408993182,5.255219636025594
3.0290707684858527,2.278904097304614,1.706653297256409,5.0845570679912155
2.971525690839989,2.1904883154475536,1.6491121698176814,4.916917602182048
2.913986906744478,2.1258758422000557,1.5915700380890048,4.747504489151392
2.8564457793057505,2.0557850386556225,1.5340279063603273,4.583928529636173
2.7989090037901394,2.001286926335092,1.4764841008150666,4.414667915573283
2.7413704875052813,1.943051333353502,1.4189396257431737,4.247303957359787
2.6838304313091665,1.882070638034305,1.36139414638133,4.080010621465427
2.626292986266922,1.8303016707341646,1.3038456541496366,3.9012806445533457
2.568754871698044,1.7781341892010243,1.2462968271546275,3.7284699073236345
2.511218765709066,1.73277067773681,1.1887473306329852,3.5596655121645027
2.4536825481323152,1.6882761982709735,1.1311970689380475,3.3945271141108395
2.39614354086126,1.6379179917276179,1.0736429813766337,3.218155941405103
2.3386081043989146,1.5977676051558596,1.0160901372218252,3.0567585191029853
2.2810696550667204,1.5514329740126054,0.9585329411438996,2.884186400989611
2.223534218604375,1.5134026001102576,0.9009734017227595,2.7116171175294808
2.1659957692721807,1.4695145208795393,0.8434128580116687,2.5454587182244337
2.1084579894666193,1.4283616733167757,0.7858482971407783,2.3748399536122404
2.050920209661058,1.3883612858613912,0.7282807234000384,2.2054670989503595
1.99338209509218,1.3487900430987438,0.6707081282095508,2.032497717914015
1.93584029812682,1.3029845170113927,0.6131308463326288,1.8597100874005004
1.8783008445046754,1.2632558281521105,0.5555492125325916,1.6903186139508621
1.82076139088253,1.2247384880831456,0.4979605487029053,1.5199190087403482
1.7632202634438023,1.1843584700889132,0.44245275133171,1.344419066415184
1.7056801402950255,1.1470710663601542,0.40577927377426715,1.207240054194172
1.6481373390397156,1.1064145502791107,0.3585925542587036,1.0888749623894678
1.590591394728821,1.0620791208312155,0.3137173544395715,0.9535014507131364
1.5330467150793448,1.021494967772168,0.26913548532885656,0.8468435346989246
1.4755058108161618,0.9881533241491748,0.2312110951290185,0.7385602955321052
1.4179607778054075,0.9498803151104405,0.2019599786686621,0.644261103184249
1.3604139593902973,0.9105987255518582,0.17834538375783104,0.5665516947783422
1.3028668062118713,0.8724945813122764,0.15734695619574612,0.49948057757269154
1.2453179792168614,0.8338466486043307,0.13634572299824654,0.4384633752739466
1.1877674784052692,0.7948723417766341,0.12057296674954632,0.38458064933055275
1.130216977593677,0.7577197087486007,0.10479516035709757,0.33472312193344966
1.0726634639122343,0.7189815230429265,0.09338635957438512,0.2964958411541423
1.0151089459408427,0.6811762933847999,0.0668248245894798,0.24453121445802528
0.957551749862918,0.6427198582351459,0.05337782319866413,0.21505458985326875
0.8999935494950435,0.6055033656523674,0.06261625456491426,0.1969115401407997
0.8424323362573194,0.5678182571567769,4.446595089196295,56.90740825347503
0.784867775386429,0.5297581429358268,4.392292015731359,46.85721684370441
0.7272985278291069,0.4907175908443717,4.365140478998891,42.5187345714604
0.6697266021652517,0.45269532568790566,4.428498303823789,53.685243448206066
0.6121509941049137,0.4152727572706129,,
0.5545713688847753,0.37860946775290605,,
0.4969840441083555,0.3411403914185921,,
0.44200475711295084,0.3043505915229662,,
0.38745213650341004,0.26777992050151733,,
0.35862385462880564,0.24107057085110847,,
0.31436697250143286,0.2160339328833705,,
0.2724465709423347,0.18874849195253732,,
0.23505998853840548,0.16541520686233627,,
0.20122132341056354,0.14463897377867024,,
0.17684934881345793,0.12781819400246877,,
0.14642960541733263,0.11113164608104259,,
0.13537689404831355,0.09957412195480703,,
0.10398429665160691,0.09679808848757683,,
